name,address_line_1,city,state,zipcode,phone,email,website,hours
Martinville Medical Clinic,2361 Deanna Dam,Martinville,WI,34743,8222975216,rachelhoward@example.com,http://www.rice-shepherd.com/,Mo - Su 10:00 - 16:00
Lake Gwendolyn Medical,870 Julia Pass Apt. 825,Lake Gwendolyn,NE,56471,4451723927,valenciajoseph@example.net,http://www.fleming.net/,"Mo - Fr 9:00 - 19:00, Sa - Su Closed"
Lauraport University Medical Group,2790 Burch Vista,Lauraport,RI,08681,7378029879,emilymathews@example.net,https://www.peterson.info/,"Mo - Fr 7:00 - 19:00, Sa - Su Closed"
Brandonside Medical Center,37959 Jack Radial Suite 182,Brandonside,MO,38744,7584389664,carrjessica@example.com,http://brown-saunders.com/,Mo - Su 8:00 - 16:00
Davidfurt Medical Clinic,848 Nicole Keys,Davidfurt,NC,34562,2640760496,nadams@example.com,http://walsh.com/,"Mo - Fr 10:00 - 19:00, Sa - Su Closed"
Petersborough Health,04170 Steven Crest Apt. 460,Petersborough,PA,80551,5730069780,michaelcamacho@example.org,http://washington.net/,Mo - Su 8:00 - 16:00
Aguirrestad Memorial Hospital,142 Smith Station,Aguirrestad,LA,61993,3331694223,michael66@example.org,http://brown.net/,"Mo - Fr 9:00 - 17:00, Sa - Su Closed"
North Gregoryside Clinic,870 Stephen Groves,North Gregoryside,NE,86979,2139232256,robertyoung@example.com,http://www.dickerson.com/,Mo - Su 10:00 - 18:00
Hatfieldhaven University Medical Group,6606 Angel Haven,Hatfieldhaven,ID,05897,3519675084,chenjason@example.org,https://www.york.com/,"Mo - Fr 8:00 - 17:00, Sa - Su Closed"
Port Danielleborough Medical,7279 Price Tunnel,Port Danielleborough,IN,85124,3749106568,perkinscatherine@example.com,https://caldwell.com/,"Mo - Fr 9:00 - 18:00, Sa - Su Closed"
New Brookefurt Group,2059 Mary Corners,New Brookefurt,KS,65787,4552501283,ryan93@example.net,http://williams.com/,Mo - Su 7:00 - 16:00
South Joshua Clinic,26616 Bowman Haven,South Joshua,TX,82956,1330460778,yolanda94@example.com,http://newman.org/,"Mo - Fr 9:00 - 18:00, Sa - Su Closed"
East Alejandrashire Memorial Hospital,25786 Jenkins Track,East Alejandrashire,MS,53745,7507238651,barnesjeffrey@example.org,http://may.biz/,Mo - Su 7:00 - 17:00
Johnsonville Health,99809 Jacobs Vista Suite 690,Johnsonville,TN,98896,8314421350,helenharrison@example.org,http://www.moore.com/,Mo - Su 8:00 - 18:00
Christophertown Medical Clinic,61151 Glenn Land Apt. 618,Christophertown,HI,05945,7541737575,arellanojohn@example.org,https://www.brown-collins.org/,Mo - Su 10:00 - 17:00
Carlville Memorial Hospital,897 Traci Motorway,Carlville,OH,06681,3691542699,douglas01@example.org,https://gregory.com/,"Mo - Fr 10:00 - 17:00, Sa - Su Closed"
West William Medical,111 Bryan Mills,West William,NH,81034,5823702654,roberthendricks@example.net,http://schmidt-figueroa.org/,Mo - Su 9:00 - 19:00
Brightland Clinic,264 Emily Fields,Brightland,WV,22375,9190102038,joel08@example.com,https://www.allen.com/,Mo - Su 7:00 - 18:00
North Brandy Medical Clinic,868 Espinoza Light Apt. 195,North Brandy,VI,99050,4060215648,brownjoseph@example.org,http://www.miller.com/,Mo - Su 7:00 - 18:00
Rodriguezfort Health,917 Wright Street,Rodriguezfort,MO,53091,5873222750,odonnelldanielle@example.net,https://www.owens-park.com/,"Mo - Fr 10:00 - 18:00, Sa - Su Closed"
Camposview Medical Clinic,43987 Timothy Terrace,Camposview,ND,08673,9896691723,davistraci@example.com,http://www.miller.biz/,Mo - Su 7:00 - 19:00
Brendamouth Health,93712 Melody Row Suite 376,Brendamouth,WV,12729,1248466291,imiller@example.com,http://www.proctor.com/,"Mo - Fr 7:00 - 19:00, Sa - Su Closed"
Phillipfort Medical Clinic,012 Robyn Crest,Phillipfort,DE,94866,9804699746,rodriguezaudrey@example.com,http://palmer-kelly.com/,"Mo - Fr 9:00 - 18:00, Sa - Su Closed"
East Courtney Medical Clinic,911 Erin Ferry,East Courtney,CA,32417,8531704544,nichole70@example.org,https://stephens.com/,"Mo - Fr 7:00 - 18:00, Sa - Su Closed"
Ashleestad University Medical Group,45837 Kelly Shores Suite 151,Ashleestad,CT,84547,3013487585,martinezstephanie@example.org,http://www.huff.com/,"Mo - Fr 10:00 - 19:00, Sa - Su Closed"
Catherinefort Clinic,6574 Andre Shores Apt. 565,Catherinefort,AK,38060,5809562876,kelly93@example.com,http://carney-guzman.com/,"Mo - Fr 7:00 - 16:00, Sa - Su Closed"
South Meganville Medical Center,9987 Moss Prairie,South Meganville,MP,96521,5665203585,bbanks@example.net,http://sawyer-flynn.com/,Mo - Su 8:00 - 18:00
West Michele Memorial Hospital,9689 Anderson Harbors,West Michele,IA,46453,9875721752,wallacealbert@example.com,http://simpson.com/,"Mo - Fr 9:00 - 17:00, Sa - Su Closed"
Nelsontown Clinic,697 Barnes Harbor,Nelsontown,KS,35567,4920860169,gcook@example.net,http://www.hammond.net/,"Mo - Fr 10:00 - 18:00, Sa - Su Closed"
Port Rachaelburgh Medical,82045 Johnson Unions,Port Rachaelburgh,RI,01323,8111479665,glassdaniel@example.net,http://henderson.com/,Mo - Su 10:00 - 19:00
Melanieland Clinic,500 Aimee Run Suite 755,Melanieland,LA,03195,9770299101,patrick50@example.net,https://harris-pugh.com/,"Mo - Fr 8:00 - 17:00, Sa - Su Closed"
Shafferstad Medical,19546 Ricky Lane Apt. 239,Shafferstad,WI,20357,2354435785,bishopscott@example.net,https://duran.com/,Mo - Su 8:00 - 17:00
New Carmen Memorial Hospital,262 Little Pines,New Carmen,PR,81485,6548310502,natasha87@example.com,http://stone-harris.com/,"Mo - Fr 7:00 - 18:00, Sa - Su Closed"
Woodsville Medical Clinic,11300 Cummings Spring Apt. 469,Woodsville,AZ,71031,2115127003,sandramcdaniel@example.net,http://hill.com/,Mo - Su 8:00 - 17:00
Floresside Clinic,60592 David Fields Suite 032,Floresside,NC,94841,1951858250,huffmannathan@example.com,https://ramos.com/,"Mo - Fr 10:00 - 16:00, Sa - Su Closed"
Garciamouth Health,4662 Green Haven,Garciamouth,UT,14280,1050281264,jeffrey50@example.com,http://anderson.com/,Mo - Su 10:00 - 16:00
South Melody Memorial Hospital,43001 David Spur Apt. 766,South Melody,CA,33562,3941926461,victoriapitts@example.org,https://williams.com/,Mo - Su 8:00 - 18:00
Georgeshire University Medical Group,380 Warren Ferry Apt. 165,Georgeshire,MA,09216,2268973420,william50@example.com,http://fuentes.com/,"Mo - Fr 9:00 - 18:00, Sa - Su Closed"
Karistad Memorial Hospital,590 Jenkins Knolls Suite 523,Karistad,IN,56580,9268563106,andrewjackson@example.com,https://ochoa-franco.com/,Mo - Su 9:00 - 16:00
Jasonside Medical Clinic,77305 Michael Camp,Jasonside,MT,73662,9473806934,cynthia17@example.com,https://smith.com/,Mo - Su 9:00 - 19:00
Gloverberg Health Center,270 Amy Falls Apt. 058,Gloverberg,OK,24124,9537479896,jamesdavis@example.com,https://www.rodgers.biz/,Mo - Su 7:00 - 17:00
New Robert Clinic,1565 Rollins Plaza,New Robert,HI,61118,1984733921,chendonald@example.com,https://www.patterson.com/,"Mo - Fr 10:00 - 16:00, Sa - Su Closed"
Port Karenville University Medical Group,0680 Sharon Shore Suite 995,Port Karenville,GU,36855,5172028336,michaelmay@example.org,https://thomas-rogers.com/,"Mo - Fr 8:00 - 17:00, Sa - Su Closed"
Amandashire University Medical Group,6248 Garcia Drive Suite 602,Amandashire,PR,03228,8015467804,lwalsh@example.org,https://alexander.com/,"Mo - Fr 10:00 - 18:00, Sa - Su Closed"
Millerview Medical Clinic,953 Clark Vista Suite 655,Millerview,NM,99443,8559408330,mccoyjulie@example.net,https://www.smith.com/,Mo - Su 7:00 - 19:00
West Jennifertown Group,80583 Murphy Throughway,West Jennifertown,HI,78195,4800630214,lindafuller@example.com,https://www.gill.org/,"Mo - Fr 8:00 - 18:00, Sa - Su Closed"
Port Coreyville Group,79009 York Islands,Port Coreyville,TN,61827,4543025167,gardnermary@example.net,http://www.carroll-parker.com/,Mo - Su 8:00 - 16:00
Gordonchester Clinic,06457 James Brooks Suite 935,Gordonchester,ME,63954,3973538861,fischercarmen@example.org,http://www.taylor.com/,"Mo - Fr 9:00 - 18:00, Sa - Su Closed"
Beckyberg Health,918 Heather Trace Apt. 562,Beckyberg,AL,63596,6069745369,taylormelinda@example.net,https://williams.com/,Mo - Su 9:00 - 16:00
Dominguezchester Health,48866 Moore Fields Apt. 454,Dominguezchester,OH,83255,5849771239,amygarrett@example.com,http://www.rodriguez-greer.biz/,"Mo - Fr 9:00 - 16:00, Sa - Su Closed"
Hodgefurt Health,1827 Chad Cape,Hodgefurt,SC,59769,8930584966,lrobles@example.com,https://simmons-white.net/,Mo - Su 10:00 - 17:00
North Johnburgh Group,90871 Watts Wall,North Johnburgh,GA,90891,4815928646,franklinjames@example.com,http://boyd.com/,Mo - Su 10:00 - 19:00
Zacharyfurt University Medical Group,766 Bray Dam Suite 113,Zacharyfurt,AR,81988,5186005999,caitlynbrown@example.com,https://www.tucker.com/,"Mo - Fr 8:00 - 18:00, Sa - Su Closed"
Hardingburgh Health,182 Taylor Highway Apt. 291,Hardingburgh,MN,54539,9767530043,williamsjennifer@example.org,http://flores-tran.com/,"Mo - Fr 10:00 - 18:00, Sa - Su Closed"
Rachelport Medical Center,0126 Jeremy Village Suite 146,Rachelport,AS,99183,9041457743,ugray@example.com,https://walsh.com/,"Mo - Fr 9:00 - 18:00, Sa - Su Closed"
Ashleyport Health,013 Victoria Hill,Ashleyport,VA,94062,8981429077,johngriffith@example.org,https://www.arnold.com/,"Mo - Fr 10:00 - 17:00, Sa - Su Closed"
South Evan Memorial Hospital,01718 Pearson Rest,South Evan,FM,90298,8652594673,hernandezjulia@example.net,http://www.rose.net/,Mo - Su 7:00 - 18:00
New Hayleymouth Clinic,258 Laura Causeway,New Hayleymouth,CT,37845,7755927763,kaylamedina@example.com,https://www.smith.com/,Mo - Su 7:00 - 17:00
South Terriberg Memorial Hospital,2797 Chan Mews,South Terriberg,VT,36138,8386859948,yatkins@example.com,http://alvarado-grant.com/,"Mo - Fr 7:00 - 18:00, Sa - Su Closed"
